model_key,model_name,true_label,n,mean_prob_fake_orig,mean_prob_fake_jpeg,mean_prob_fake_drop,median_prob_fake_drop,std_prob_fake_drop
resnet18,ResNet18,fake,6000,0.9249694226901871,0.8968536431063173,0.028115779583869856,0.0003060996532439,0.07662556283176755
resnet18,ResNet18,real,6005,0.13318207708328822,0.11365611294669341,0.019525964136594763,0.0005738508189096,0.06252617775772021
vit_b16,ViT-B/16,fake,6000,0.9349837453806531,0.9181953201473306,0.016788425233322343,5.96046447642884e-07,0.08654870052072888
vit_b16,ViT-B/16,real,6005,0.04662826115527987,0.040468244586006376,0.00616001656927349,1.0119755700088716e-08,0.06040152004080028
dinov3_vit_b16,DINOv3-ViT-B/16,fake,6000,0.9714884969888614,0.9278040121067533,0.043684484882108014,0.0001351833343505,0.15480233485858477
dinov3_vit_b16,DINOv3-ViT-B/16,real,6005,0.028667737572594613,0.01713914493786389,0.011528592634730725,1.2051023077000174e-06,0.07055831583866376
